Team,FG,FGA,2P,2PA,3P,3PA,FT,FTA,Asists,Blocks,Turnovers,Total_ORB,Total_DRB,Total_RB,Points
"AIX Armani Exchange Milan",957,2162,634,1237,323,925,387,527,565,81,393,297,781,1078,2624
"Alba Berlin",944,2086,631,1230,313,856,376,483,585,73,429,341,742,1083,2577
"Anadolu Efes",1164,2436,772,1360,392,1076,521,639,672,110,426,293,903,1196,3241
"AS Monaco",1161,2412,837,1536,324,876,524,697,581,80,384,332,827,1159,3170
Barcelona,1139,2313,788,1437,351,876,550,680,718,69,497,331,866,1197,3179
"Bayern Munchen",941,2091,616,1200,325,891,485,608,493,53,358,296,715,1011,2692
"Bitci Baskonia",889,1973,610,1170,279,803,338,434,562,78,380,273,745,1018,2395
"Crvena zvezda mts",885,1943,651,1226,234,717,411,569,531,46,376,295,634,929,2423
"CSKA Moscow",687,1533,453,874,234,659,313,386,395,63,260,258,497,755,1921
"Fenerbahce Beko",859,1808,626,1095,233,713,357,481,561,61,389,243,647,890,2308
"LDLC ASVEL",898,1913,685,1299,213,614,326,442,449,91,402,242,656,898,2335
"Maccabi Tel Aviv",1004,2143,717,1345,287,798,495,608,562,73,395,281,731,1012,2790
Olympiacos,1081,2239,739,1271,342,968,537,708,658,91,429,274,846,1120,3041
"Panathinaikos OPAP",871,1907,622,1160,249,747,410,510,489,100,381,234,693,927,2401
"Real Madrid",1103,2421,740,1393,363,1028,430,562,686,127,452,378,953,1331,2999
UNICS,720,1557,496,960,224,597,253,344,412,47,314,209,534,743,1917
Zalgiris,849,1892,579,1127,270,765,369,461,532,59,366,260,644,904,2337
"Zenit Saint Petersburg",618,1347,422,798,196,549,271,370,348,62,282,204,500,704,1703
